mA tanb xsec_gg_H
180.0 1.0 17.76628685
180.0 1.1 16.7634983063
180.0 1.2 16.2192344666
180.0 1.3 16.2192344666
180.0 1.4 15.8036556244
180.0 1.5 15.0418357849
180.0 1.6 14.6630058289
180.0 1.7 14.282579422
180.0 1.8 14.282579422
180.0 1.9 13.9026222229
180.0 2.0 13.148645401
180.0 2.1 13.148645401
180.0 2.2 12.4165487289
180.0 2.3 12.4165487289
180.0 2.4 11.7173709869
180.0 2.5 11.3833990097
180.0 2.6 11.3833990097
180.0 2.7 10.7503652573
180.0 2.8 10.7503652573
180.0 2.9 10.1662731171
180.0 3.0 9.89288520813
180.0 3.1 9.89288520813
180.0 3.2 9.38358211517
180.0 3.3 9.38358211517
180.0 3.4 8.92105102539
180.0 3.5 8.70740795135
180.0 3.6 8.70740795135
180.0 3.7 8.3150434494
180.0 3.8 8.3150434494
180.0 3.9 7.96643686295
180.0 4.0 7.80731678009
180.0 4.1 7.80731678009
180.0 4.2 7.65768909454
180.0 4.3 7.38537120819
180.0 4.4 7.26212406158
180.0 4.5 7.14700603485
180.0 4.6 7.14700603485
180.0 4.7 7.03969573975
180.0 4.8 6.84716653824
180.0 4.9 6.76131343842
185.0 1.0 17.7134037018
185.0 1.1 16.8087730408
185.0 1.2 16.14610672
185.0 1.3 16.14610672
185.0 1.4 15.5898675919
185.0 1.5 14.5838737488
185.0 1.6 14.1068305969
185.0 1.7 13.6432552338
185.0 1.8 13.6432552338
185.0 1.9 13.1930541992
185.0 2.0 12.3316192627
185.0 2.1 12.3316192627
185.0 2.2 11.5277929306
185.0 2.3 11.5277929306
185.0 2.4 10.783914566
185.0 2.5 10.4359350204
185.0 2.6 10.4359350204
185.0 2.7 9.78658866882
185.0 2.8 9.78658866882
185.0 2.9 9.19876384735
185.0 3.0 8.92632293701
185.0 3.1 8.92632293701
185.0 3.2 8.42504119873
185.0 3.3 8.42504119873
185.0 3.4 7.97687292099
185.0 3.5 7.77106761932
185.0 3.6 7.77106761932
185.0 3.7 7.3956284523
185.0 3.8 7.3956284523
185.0 3.9 7.06464338303
185.0 4.0 6.91456747055
185.0 4.1 6.91456747055
185.0 4.2 6.77388906479
185.0 4.3 6.51907444
185.0 4.4 6.4041056633
185.0 4.5 6.29687213898
185.0 4.6 6.29687213898
185.0 4.7 6.19716596603
185.0 4.8 6.01875734329
185.0 4.9 5.93945026398
190.0 1.0 17.6887264252
190.0 1.1 16.7445735931
190.0 1.2 15.9548492432
190.0 1.3 15.9548492432
190.0 1.4 15.2734479904
190.0 1.5 14.0662689209
190.0 1.6 13.5122337341
190.0 1.7 12.9854593277
190.0 1.8 12.9854593277
190.0 1.9 12.4834022522
190.0 2.0 11.5474014282
190.0 2.1 11.5474014282
190.0 2.2 10.698638916
190.0 2.3 10.698638916
190.0 2.4 9.93203735352
190.0 2.5 9.57902622223
190.0 2.6 9.57902622223
190.0 2.7 8.92844963074
190.0 2.8 8.92844963074
190.0 2.9 8.34804534912
190.0 3.0 8.08187580109
190.0 3.1 8.08187580109
190.0 3.2 7.59506845474
190.0 3.3 7.59506845474
190.0 3.4 7.16584777832
190.0 3.5 6.96973466873
190.0 3.6 6.96973466873
190.0 3.7 6.61372995377
190.0 3.8 6.61372995377
190.0 3.9 6.30163478851
190.0 4.0 6.16083812714
190.0 4.1 6.16083812714
190.0 4.2 6.02927684784
190.0 4.3 5.79185390472
190.0 4.4 5.68509292603
190.0 4.5 5.58574438095
190.0 4.6 5.58574438095
190.0 4.7 5.49341106415
190.0 4.8 5.32844400406
190.0 4.9 5.25522327423
195.0 1.0 17.6108760834
195.0 1.1 16.5850162506
195.0 1.2 15.6765365601
195.0 1.3 15.6765365601
195.0 1.4 14.8881912231
195.0 1.5 13.5186338425
195.0 1.6 12.9057149887
195.0 1.7 12.3320074081
195.0 1.8 12.3320074081
195.0 1.9 11.7933082581
195.0 2.0 10.8082532883
195.0 2.1 10.8082532883
195.0 2.2 9.93458271027
195.0 2.3 9.93458271027
195.0 2.4 9.16076755524
195.0 2.5 8.80840492249
195.0 2.6 8.80840492249
195.0 2.7 8.16705608368
195.0 2.8 8.16705608368
195.0 2.9 7.6006155014
195.0 3.0 7.34356307983
195.0 3.1 7.34356307983
195.0 3.2 6.87590551376
195.0 3.3 6.87590551376
195.0 3.4 6.46642065048
195.0 3.5 6.28132772446
195.0 3.6 6.28132772446
195.0 3.7 5.94538211823
195.0 3.8 5.94538211823
195.0 3.9 5.65223407745
195.0 4.0 5.52019309998
195.0 4.1 5.52019309998
195.0 4.2 5.39725923538
195.0 4.3 5.17622470856
195.0 4.4 5.07705307007
195.0 4.5 4.98488616943
195.0 4.6 4.98488616943
195.0 4.7 4.89935827255
195.0 4.8 4.74675512314
195.0 4.9 4.67904233932
200.0 1.0 17.4679927826
200.0 1.1 16.3507442474
200.0 1.2 15.3372011185
200.0 1.3 15.3372011185
200.0 1.4 14.4599761963
200.0 1.5 12.961930275
200.0 1.6 12.3050279617
200.0 1.7 11.6977701187
200.0 1.8 11.6977701187
200.0 1.9 11.1342802048
200.0 2.0 10.1196432114
200.0 2.1 10.1196432114
200.0 2.2 9.23585414886
200.0 2.3 9.23585414886
200.0 2.4 8.465716362
200.0 2.5 8.11815166473
200.0 2.6 8.11815166473
200.0 2.7 7.49121618271
200.0 2.8 7.49121618271
200.0 2.9 6.94429302216
200.0 3.0 6.69705629349
200.0 3.1 6.69705629349
200.0 3.2 6.25064229965
200.0 3.3 6.25064229965
200.0 3.4 5.86135864258
200.0 3.5 5.68648862839
200.0 3.6 5.68648862839
200.0 3.7 5.37089586258
200.0 3.8 5.37089586258
200.0 3.9 5.09596538544
200.0 4.0 4.9724521637
200.0 4.1 4.9724521637
200.0 4.2 4.85746717453
200.0 4.3 4.65132713318
200.0 4.4 4.55913734436
200.0 4.5 4.47354078293
200.0 4.6 4.47354078293
200.0 4.7 4.39414072037
200.0 4.8 4.25258827209
200.0 4.9 4.18980169296
205.0 1.0 17.2669239044
205.0 1.1 16.0614585876
205.0 1.2 14.9578332901
205.0 1.3 14.9578332901
205.0 1.4 14.0079526901
205.0 1.5 12.4104890823
205.0 1.6 11.7217435837
205.0 1.7 11.0915050507
205.0 1.8 11.0915050507
205.0 1.9 10.5123252869
205.0 2.0 9.48317813873
205.0 2.1 9.48317813873
205.0 2.2 8.60033035278
205.0 2.3 8.60033035278
205.0 2.4 7.84083843231
205.0 2.5 7.50095272064
205.0 2.6 7.50095272064
205.0 2.7 6.89253664017
205.0 2.8 6.89253664017
205.0 2.9 6.36661911011
205.0 3.0 6.12985706329
205.0 3.1 6.12985706329
205.0 3.2 5.70489835739
205.0 3.3 5.70489835739
205.0 3.4 5.33609867096
205.0 3.5 5.17071962357
205.0 3.6 5.17071962357
205.0 3.7 4.8742313385
205.0 3.8 4.8742313385
205.0 3.9 4.61651611328
205.0 4.0 4.50085449219
205.0 4.1 4.50085449219
205.0 4.2 4.39335489273
205.0 4.3 4.20069980621
205.0 4.4 4.11465978622
205.0 4.5 4.03496217728
205.0 4.6 4.03496217728
205.0 4.7 3.96111679077
205.0 4.8 3.82948422432
205.0 4.9 3.77110385895
210.0 1.0 17.0196285248
210.0 1.1 15.7340955734
210.0 1.2 14.5548429489
210.0 1.3 14.5548429489
210.0 1.4 13.5464782715
210.0 1.5 11.8738832474
210.0 1.6 11.1629724503
210.0 1.7 10.5181331635
210.0 1.8 10.5181331635
210.0 1.9 9.93044281006
210.0 2.0 8.89785575867
210.0 2.1 8.89785575867
210.0 2.2 8.02370357513
210.0 2.3 8.02370357513
210.0 2.4 7.27937889099
210.0 2.5 6.9488363266
210.0 2.6 6.9488363266
210.0 2.7 6.36109256744
210.0 2.8 6.36109256744
210.0 2.9 5.85621833801
210.0 3.0 5.63074016571
210.0 3.1 5.63074016571
210.0 3.2 5.22669839859
210.0 3.3 5.22669839859
210.0 3.4 4.87785863876
210.0 3.5 4.72174692154
210.0 3.6 4.72174692154
210.0 3.7 4.44225168228
